Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1uF","C_0603_1608Metric",158.787500,-73.575000,90.000000,top
"C2","4.7uF","C_0603_1608Metric",151.425000,-115.720000,0.000000,top
"C3","100nF","C_0603_1608Metric",154.650000,-112.555000,180.000000,top
"C4","100nF","C_0603_1608Metric",154.650000,-116.055000,180.000000,top
"C5","10uF","C_0603_1608Metric",154.700000,-114.305000,0.000000,top
"C7","100nF","C_0603_1608Metric",170.425000,-105.100000,-90.000000,top
"C8","100nF","C_0603_1608Metric",171.425000,-99.700000,0.000000,top
"C9","1uF","C_0603_1608Metric",166.287500,-73.525000,-90.000000,top
"C11","100nF","C_0603_1608Metric",179.200000,-110.900000,0.000000,top
"C15","100nF","C_0603_1608Metric",177.540000,-87.595000,90.000000,top
"C16","100nF","C_0603_1608Metric",145.000000,-94.135000,90.000000,top
"C17","100nF","C_0603_1608Metric",174.000000,-116.000000,90.000000,top
"D1","WS2812B","LED_D5.0mm-4_RGB",181.500000,-86.595000,-90.000000,top
"D2","WS2812B","LED_D5.0mm-4_RGB",149.000000,-93.095000,-90.000000,top
"D3","WS2812B","LED_D5.0mm-4_RGB",178.000000,-115.095000,-90.000000,top
"DFU1","SW_Push","SW_PUSH_6mm_H7.3mm_2-Pin",181.250000,-94.250000,0.000000,top
"LMB1","SW_Push","SW_PUSH_6mm_H7.3mm_2-Pin",150.250000,-79.250000,180.000000,top
"MACRO1","SW_Push","SW_PUSH_6mm_H7.3mm_2-Pin",159.350000,-97.835000,0.000000,top
"MMB1","SW_Push","SW_PUSH_6mm_H7.3mm_2-Pin",148.750000,-83.585000,0.000000,top
"R1","10k","R_0603_1608Metric",155.425000,-118.720000,90.000000,top
"R2","5.1k","R_0603_1608Metric",169.000000,-69.500000,90.000000,top
"R3","5.1k","R_0603_1608Metric",156.500000,-69.500000,90.000000,top
"R4","39","R_0603_1608Metric",169.925000,-110.720000,90.000000,top
"R5","10k","R_0603_1608Metric",170.425000,-102.000000,90.000000,top
"R6","10k","R_0603_1608Metric",175.425000,-97.615000,0.000000,top
"REGULATOR1","AP2112K-3.3","SOT-23-5",162.487500,-73.550000,0.000000,top
"RMB1","SW_Push","SW_PUSH_6mm_H7.3mm_2-Pin",181.750000,-79.310000,180.000000,top
"SENSOR1","PMW3360DM-T2QU","PMW3360",162.500000,-115.605000,0.000000,top
"U1","STM32G431KBT6","LQFP-32_7x7mm_P0.8mm",176.500000,-104.500000,0.000000,top
"USB1","USB_C_Receptacle_USB2.0_14P","USB_C_Receptacle_HRO_TYPE-C-31-M-12",162.850000,-64.060000,180.000000,top
"WHEEL1","EC10E1220501","TRIM_EC10E1220501",170.754000,-85.835000,-90.000000,top
