Designator,Mid X,Mid Y,Rotation,Layer
C1,142.0,-71.925,90.0,Top
C2,132.85,-120.15,-90.0,Top
C3,136.6,-119.2,180.0,Top
C4,136.6,-122.7,180.0,Top
C5,136.65,-120.95,0.0,Top
C7,138.55,-106.25,-90.0,Top
C8,139.55,-100.85,0.0,Top
C9,149.5,-71.875,-90.0,Top
C11,147.15,-112.15,0.0,Top
C15,159.0,-94.0,90.0,Top
C16,122.95,-94.25,180.0,Top
C17,139.7,-136.475,90.0,Top
CHANGER1,107.4,-90.8,-90.0,Top
D1,161.96,-92.0,0.0,Top
D2,121.11,-89.95,0.0,Top
D3,142.095,-134.5,0.0,Top
DB-Connect1,105.15,-105.15,0.0,Top
EDIT1,154.95,-104.8575,270.0,Top
LMB1,121.25,-79.2,0.0,Top
MB-Connect1,122.95,-103.45,0.0,Top
MMB1,132.75,-86.25,90.0,Top
R1,136.55,-126.25,180.0,Top
R2,139.35,-66.25,90.0,Top
R3,152.65,-66.25,90.0,Top
R4,151.75,-116.05,90.0,Top
R5,138.55,-103.15,90.0,Top
R6,142.5,-98.5,90.0,Top
REGULATOR1,145.7,-71.9,0.0,Top
RMB1,161.25,-78.75,0.0,Top
SENSOR1,144.45,-122.25,0.0,Top
U1,144.625,-105.65,0.0,Top
USB1,146.0,-63.7375,180.0,Top
WHEEL1,156.5,-84.05,-90.0,Top
